ürün adý,cilt tipi,kategori,içerik,is_exist
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Citric Acid,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Phenoxyethanol,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Fragrance,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Butylene Glycol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Sodium Benzoate,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Potassium Sorbate,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Cetearyl Alcohol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Caprylyl Glycol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Allantoin,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Green Tea Extract,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Chamomile Extract,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Salicylic Acid,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Lactic Acid,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Squalane,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Shea Butter,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Jojoba Oil,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Dimethicone,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Licorice Root Extract,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Titanium Dioxide,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Zinc Oxide,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Cocamidopropyl Betaine,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Decyl Glucoside,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Retinol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Alcohol Denat,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Essential Oils,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Limonene,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Linalool,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Eugenol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Geraniol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Citral,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Methylisothiazolinone,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Methylchloroisothiazolinone,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Propylene Glycol,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Benzyl Alcohol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,BHT,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Formaldehyde,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Isopropyl Alcohol,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Sodium Lauryl Sulfate,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Water,1
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Glycerin,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Niacinamide,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Hyaluronic Acid,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Panthenol,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Aloe Vera Extract,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Vitamin E,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Citric Acid,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Phenoxyethanol,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Fragrance,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Butylene Glycol,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Sodium Benzoate,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Potassium Sorbate,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Cetearyl Alcohol,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Caprylyl Glycol,0
The Ordinary Glucoside Foaming Cleanser,YAGLI,Temizleyici,Allantoin,0
